compound_id,smiles,compound_type,known_activity,description
CDK_207,Br.CN1CCCCC1.N[SH](=O)=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_227,Br.C1CCNCC1.CN1CCCCC1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_157,Br.CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_158,Br.C1CCNCC1.CO.O=CO,decoy,inactive,Drug-like decoy compound
CDK_161,Br.F.FC(F)F.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_220,CN1CCCCC1.NC=O.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_108,F.NC=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_037,CN1CCCCC1.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 3
DECOY_062,C1CCNCC1.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_016,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,decoy,inactive,Antihistamine compound
CDK_214,N[SH](=O)=O.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_167,C1CCNCC1.F.O=CO.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_206,C1CCNCC1.CO.FC(F)F.NC=O,decoy,inactive,Drug-like decoy compound
CDK_181,CN.CN1CCCCC1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_060,CC(C)C.Nc1nc(Nc2ccccc2)nc2ccccc12.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 26
CDK_112,CN1CCCCC1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1.c1ccncc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 78
CDK_090,C1CCNCC1.FC(F)(F)c1ccccc1.Fc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 56
DECOY_204,Br.CO.NC=O.O=CO,decoy,inactive,Drug-like decoy compound
CDK_007,CC1=C(SC(=N1)NC(=O)NC2=CC(=C(C=C2)OCC3=CC=CC=N3)OC)C(=O)OC,CDK_inhibitor,CDK_active,Purvalanol analog
DECOY_161,C1CCNCC1.CN1CCCCC1.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_204,Br.CN.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_200,CN1CCCCC1.CO.FC(F)F,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_035,CCC(C)Cc1ccc(C(C)C(=O)O)cc1,decoy,inactive,Antihistamine compound
DECOY_027,CC(C)N(C)CC(O)COc1ccc(CC(N)=O)cc1,decoy,inactive,NSAID compound
CDK_138,FC(F)F.N[SH](=O)=O.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_226,CN.FC(F)F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_141,CN1CCCCC1.Cl.F.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_247,N[SH](=O)=O.O=CO.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_001,CC(=O)OC1=CC=CC=C1C(=O)O,decoy,inactive,Aspirin - anti-inflammatory
DECOY_173,FC(F)F.c1ccccc1.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_104,FC(F)(F)c1ccccc1.Nc1nc2ccccc2[nH]1.c1ccccc1.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 70
CDK_082,CN1CCCCC1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 48
CDK_039,C1CCNCC1.Nc1nc2ccccc2[nH]1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 5
DECOY_136,C1CCNCC1.FC(F)F.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_044,CO.F.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_226,C1CCNCC1.CN1CCCCC1.Cl.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_121,Br.C1CCNCC1.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_228,Br.F.N[SH](=O)=O.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_064,C1CCNCC1.NC=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_122,O=CO.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_193,Br.CN1CCCCC1.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_023,CC(C)NCC(O)COc1cccc2ccccc12,decoy,inactive,Statin compound
DECOY_178,Br.C1CCNCC1.Cl,decoy,inactive,Drug-like decoy compound
DECOY_024,CCC(C)N(C)CC(O)COc1cccc2ccccc12,decoy,inactive,Diuretic compound
DECOY_213,Br.C1CCNCC1.CN1CCCCC1.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_117,C1CCNCC1.CN.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_124,CC(C)C.Clc1ccccc1.Cn1ncc2ncncc21.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 90
CDK_215,F.FC(F)F.O=CO.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_097,CC(C)C.CN1CCCCC1.Clc1ccccc1.Nc1nc2ccccc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 63
DECOY_020,CCC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,decoy,inactive,Antihistamine compound
DECOY_086,F.FC(F)F.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_209,CN1CCCCC1.FC(F)F.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_098,Cc1ccccc1.Cc1ccccc1.FC(F)(F)c1ccccc1.Nc1nc2ccccc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 64
CDK_230,CN1CCCCC1.Cl.O=CO.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_123,Clc1ccccc1.Cn1ncc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 89
DECOY_054,Br.C1CCNCC1.FC(F)F.O=CO,decoy,inactive,Drug-like decoy compound
CDK_147,Br.C1CCNCC1.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_090,CN1CCCCC1.NC=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_129,C1CCNCC1.CN.CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_123,Br.CO.NC=O.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_156,FC(F)F.O=CO.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_223,Br.CN1CCCCC1.NC=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_180,Br.C1CCNCC1.CN.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_180,CN1CCCCC1.O=CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_126,CC(C)C.COc1ccccc1.Clc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 92
DECOY_126,Br.F.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_079,Br.CN1CCCCC1.CO.NC=O,decoy,inactive,Drug-like decoy compound
CDK_236,Br.C1CCNCC1.CO.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_155,C1CCNCC1.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_130,COc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1.c1ccccc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 96
DECOY_195,CO.Cl.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_182,CN1CCCCC1.NC=O.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_211,CN.Cl.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_169,Br.CN1CCCCC1.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_184,F.NC=O.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_159,CN.CN1CCCCC1.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_120,CN1CCCCC1.F.FC(F)F.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_181,CN1CCCCC1.Cl.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
CDK_201,CN1CCCCC1.FC(F)F.O=CO.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_113,Cc1ccccc1.FC(F)(F)c1ccccc1.Nc1nc2ccccc2[nH]1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 79
DECOY_052,CN1CCCCC1.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_131,FC(F)F.O=CO.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_241,N[SH](=O)=O.O=CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_238,CN.NC=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_233,C1CCNCC1.O=CO.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_196,FC(F)F.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_160,CN.CN1CCCCC1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_133,Br.N[SH](=O)=O.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_041,CN(C)CCOC(c1ccccc1)c2ccccc2,decoy,inactive,Beta-blocker compound
DECOY_013,CN(C)CCCOc1ccc(C(CCl)(c2ccccc2)c2ccccc2)cc1,decoy,inactive,Chlorpheniramine analog
DECOY_063,Br.CO.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_098,C1CCNCC1.F.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_084,CN.CN1CCCCC1.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
CDK_116,Cc1ccccc1.Cc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 82
CDK_121,CCN(C)C.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 87
CDK_206,CN1CCCCC1.FC(F)F.NC=O.O=CO,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_156,FC(F)F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_186,Br.C1CCNCC1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_182,CO.F.FC(F)F.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
CDK_128,C1CCNCC1.CC(C)C.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 94
DECOY_116,Br.CO.Cl.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_233,N[SH](=O)=O.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_108,CCN(C)C.Clc1ccccc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 74
DECOY_165,CN.CN1CCCCC1.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_143,C1CCNCC1.CN1CCCCC1.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_134,CC(C)C.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 100
DECOY_215,Br.CO.F.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_045,Cc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 11
CDK_250,Br.C1CCNCC1.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_066,CN1CCCCC1.Clc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 32
DECOY_115,Br.C1CCNCC1.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_086,COc1ccccc1.Fc1ccccc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 52
CDK_165,Br.FC(F)F.N[SH](=O)=O.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_142,N[SH](=O)=O.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_174,CO.FC(F)F.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_036,Cc1ccc(cc1Nc2ncccc2C(=O)O)C(F)(F)F,decoy,inactive,Beta-blocker compound
DECOY_003,COC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OC,decoy,inactive,Simple aromatic ketone
CDK_036,CCN(C)C.Nc1ncnc(N)n1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 2
CDK_029,Cn1nnc2c1c(=O)n(-c1ccccc1)c(=O)n2C,CDK_inhibitor,CDK2_active,R-roscovitine derivative analog 2
DECOY_047,CN.CN1CCCCC1.Cl.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_019,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,decoy,inactive,Antiviral compound
DECOY_183,Br.F.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_152,Br.NC=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_077,Br.CN1CCCCC1.Cl,decoy,inactive,Drug-like decoy compound
CDK_096,C1CCNCC1.Cc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 62
CDK_052,Cn1ccc2ncncc21.FC(F)(F)c1ccccc1.c1ccccc1.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 18
DECOY_087,CN1CCCCC1.FC(F)F.NC=O.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_235,C1CCNCC1.FC(F)F.NC=O,decoy,inactive,Drug-like decoy compound
DECOY_171,Br.CO.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_051,Br.CN.FC(F)F.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_042,Cn1ncc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 8
CDK_268,Br.C1CCNCC1.CN.Cl,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_237,CN1CCCCC1.O=CO.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_149,Br.FC(F)F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_114,Br.Cl.NC=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_170,C1CCNCC1.O=CO.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_190,CN1CCCCC1.Cl.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_005,CC1=CC(=CC(=C1)NC2=NC(=NC=C2)NC3=CC=C(C=C3)CN4CCN(CC4)C)C,CDK_inhibitor,CDK4/6_active,LEE011 analog
DECOY_097,Br.C1CCNCC1.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
CDK_246,C1CCNCC1.CO.F.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_101,COc1ccccc1.Cn1ccc2ncncc21.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 67
DECOY_080,C1CCNCC1.CN1CCCCC1.Cl.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_201,Br.CO.F.FC(F)F,decoy,inactive,Drug-like decoy compound
DECOY_073,Br.C1CCNCC1.CN.CN1CCCCC1,decoy,inactive,Drug-like decoy compound
DECOY_048,Br.CN.F.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_099,CCN(C)C.Nc1nc(N)c2ccccc2n1.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 65
CDK_185,Br.NC=O.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_152,FC(F)F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_062,COc1ccccc1.Nc1ncnc(N)n1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 28
CDK_048,Nc1ncnc(N)n1.c1ccccc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 14
CDK_033,CCCC(=O)N(C)c1ccc(-c2cnc(N)nc2N)cc1,CDK_inhibitor,CDK_active,AG-024322 analog analog 2
DECOY_105,CN1CCCCC1.NC=O.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_195,CN1CCCCC1.N[SH](=O)=O.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_146,CN1CCCCC1.N[SH](=O)=O.O=CO.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_245,CN.CN1CCCCC1.O=CO.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_028,CCn1cnc2c1c(=O)n(-c1ccccc1)c(=O)n2C,CDK_inhibitor,CDK2_active,R-roscovitine derivative analog 1
CDK_238,FC(F)F.N[SH](=O)=O.O=CO.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_158,C1CCNCC1.F.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_100,C1CCNCC1.CO.NC=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_118,Br.C1CCNCC1.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_039,CNCCC(Oc1ccc(C(F)(F)F)cc1)c2ccccc2,decoy,inactive,ACE inhibitor compound
DECOY_198,CN1CCCCC1.FC(F)F.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_015,CCC(C)NCC(O)COc1ccccc1,decoy,inactive,Propranolol analog
CDK_063,CCN(C)C.CN1CCCCC1.Nc1nc(N)c2ccccc2n1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 29
DECOY_012,CCCCCCCCCCCCCCCCC(=O)O,decoy,inactive,Palmitic acid analog
CDK_129,Nc1ncnc(Nc2ccccc2)n1.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 95
DECOY_230,CN1CCCCC1.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_009,CCC(=O)NC1=CC=C(C=C1)C2=CN=C(N=C2N)N,CDK_inhibitor,CDK_active,AG-024322 analog
CDK_194,CO.F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_223,Br.CN1CCCCC1.CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_065,c1cncnc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 31
DECOY_125,C1CCNCC1.CN.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_005,CN(C)CCOC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)CCl,decoy,inactive,Chlorpheniramine - antihistamine
DECOY_033,Clc1ccc(C(c2ccccc2)N3CCN(C)CC3)cc1,decoy,inactive,Antifungal compound
CDK_041,CN1CCCCC1.COc1ccccc1.Fc1ccccc1.Nc1ncnc(N)n1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 7
DECOY_172,C1CCNCC1.CN1CCCCC1.F.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_254,Cl.NC=O.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_228,Cl.FC(F)F.NC=O.N[SH](=O)=O,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_075,Br.FC(F)F.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_179,Br.CN.CN1CCCCC1.Cl,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_243,Br.CN.CN1CCCCC1.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_240,Br.FC(F)F.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_149,CO.FC(F)F.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_085,Br.CN1CCCCC1.CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_150,Br.C1CCNCC1.CN.FC(F)F,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_151,Br.FC(F)F.O=CO.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_186,C1CCNCC1.CN1CCCCC1.Cl.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_220,NC=O.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_169,CN1CCCCC1.O=CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_239,C1CCNCC1.CN1CCCCC1.F.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_237,C1CCNCC1.CN1CCCCC1.CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_127,Br.Cl.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_155,Br.Cl.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_106,CO.FC(F)F.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_066,F.FC(F)F.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_038,O=C(O)c1cc(Nc2ccccc2)ccc1O,decoy,inactive,Antifungal compound
CDK_044,Fc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 10
CDK_153,F.FC(F)F.NC=O.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_185,Br.C1CCNCC1.Cl.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
CDK_143,Br.CN1CCCCC1.O=CO.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_132,CN1CCCCC1.NC=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_099,CN.CN1CCCCC1.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_106,Cc1ccccc1.Nc1ncnc(Nc2ccccc2)n1.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 72
CDK_054,COc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 20
CDK_224,Br.C1CCNCC1.FC(F)F,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_002,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)NC3=CC=C(C=C3)C(=O)NCC4=CC=CC=N4)C,CDK_inhibitor,CDK4/6_active,Ribociclib - FDA approved CDK4/6 inhibitor
DECOY_208,CN1CCCCC1.NC=O.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_260,CO.F.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_050,CCN(C)C.CN1CCCCC1.Cn1ccc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 16
DECOY_194,CN.CN1CCCCC1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_081,C1CCNCC1.CCN(C)C.Nc1ncnc(N)n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 47
DECOY_068,Br.Cl.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_035,CC(C)C.CCN(C)C.FC(F)(F)c1ccccc1.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 1
DECOY_103,NC=O.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_199,C1CCNCC1.CN1CCCCC1.F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_163,CN1CCCCC1.N[SH](=O)=O.O=CO,decoy,inactive,Drug-like decoy compound
CDK_092,FC(F)(F)c1ccccc1.Nc1ncnc(N)n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 58
DECOY_150,C1CCNCC1.CO.FC(F)F.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_227,Br.CN1CCCCC1.CO,decoy,inactive,Drug-like decoy compound
CDK_053,CCN(C)C.CN1CCCCC1.Fc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 19
CDK_203,CN.N[SH](=O)=O.O=CO.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_104,CN.FC(F)F.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_088,CN1CCCCC1.CO.Cl.NC=O,decoy,inactive,Drug-like decoy compound
DECOY_004,CCCCCCCCCCCCCCCC(=O)O,decoy,inactive,Palmitic acid - fatty acid
DECOY_137,CN1CCCCC1.NC=O.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
